,load_node_21,load_node_98,export_node_130,export_node_68,export_node_170,export_node_108,export_node_59,renew_node_24,renew_node_154,renew_node_155,renew_node_25,renew_node_202,renew_node_86,renew_node_99,prod_gen_5,prod_gen_7,prod_gen_9,prod_gen_25,prod_gen_31,prod_gen_41,time
22,241.3321,30.7683,-16.280193,47.409944,-1734.363439,-11.985458,78.86383599999999,197.12023200000002,28.884943,219.49100499999997,203.730024,175.905911,12.937105,183.801374,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-01 22:00:00
23,231.7314,27.5392,-9.691951,55.242138,-1487.705929,-9.456186,58.363388,309.442621,87.18759200000001,253.718563,198.02668899999998,143.712605,19.585339,227.49321,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-01 23:00:00
24,211.1756,24.583,-3.743955,101.53939100000001,-1276.601701,-14.7047,89.089751,330.29455,122.581492,262.27545200000003,169.95937,119.09419399999999,0.0,285.365731,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 00:00:00
25,193.1294,22.7913,2.0641439999999998,95.347934,-1133.655934,-13.6352,79.357536,263.846404,73.405281,244.21090800000002,159.797065,78.69475,0.0,319.476025,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 01:00:00
26,179.8637,22.0267,9.537699,98.124698,-1269.0435,-13.1835,19.291446,266.626661,61.869834999999995,303.56583900000004,184.718908,65.01785500000001,0.0,385.123283,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 02:00:00
27,171.8167,21.8283,13.120048,86.721774,-1258.1391,-13.0702,18.164158999999998,312.222878,30.460065000000004,422.411525,140.129202,51.340959999999995,0.0,388.736894,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 03:00:00
28,167.9127,22.6468,37.358496,47.56735,-906.310744,-13.569,17.763272,308.33051800000004,34.050414,434.9073,128.96449199999998,48.605581,0.0,344.388037,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 04:00:00
29,166.3192,25.3687,54.988523,22.41566,-1464.9166,-15.2183,24.181379,303.88210699999996,56.495892000000005,416.163638,122.32788500000001,41.87234,0.0,346.194842,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 05:00:00
30,171.7768,29.1893,30.147381,23.104025,-1216.236898,-17.5268,28.037562,313.891032,88.762713,545.060274,121.56743999999999,49.236822,0.0,287.720053,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 06:00:00
31,185.6003,32.4801,26.095322,22.439411,-1420.67392,-19.5075,19.017879,211.57756899999998,106.783953,571.274237,138.953969,62.49289,0.0,212.381748,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 07:00:00
33,235.8745,37.1955,27.864869,57.32308199999999,-1445.05463,-22.3198,25.780839999999998,296.400653,35.141414000000005,435.891905,217.410488,135.744315,0.0,235.63802900000002,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 09:00:00
34,255.5937,37.6449,33.981229,69.883763,-1320.983951,-22.5752,43.621210999999995,397.656141,47.755995,573.793185,206.53579,210.52982999999998,0.0,191.160871,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 10:00:00
35,267.0668,37.4541,44.39295,67.145449,-2161.0382,-22.4499,25.465877,565.3246429999999,114.18725500000001,633.5900889999999,209.281887,371.903257,0.0,240.076049,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 11:00:00
36,271.8074,37.5351,54.275794,78.573397,-1254.508936,-22.495,90.29995100000001,738.830992,0.0,718.940699,201.418377,635.743703,0.0,303.86400499999996,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 12:00:00
37,264.2782,36.5019,100.499252,66.609185,-2105.7711,-21.8758,31.729139,794.3372,0.0,819.052012,186.17093400000002,700.8859,0.0,362.446769,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 13:00:00
38,265.792,35.701,96.750629,51.025107,-1568.054551,-21.3896,85.358699,802.698619,0.0,780.705197,183.858855,735.188073,0.0,326.584842,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 14:00:00
39,267.1066,35.4285,79.775094,55.45139399999999,-2042.986,-21.2236,28.734596999999997,567.5090339999999,0.0,555.990146,161.224904,611.409693,0.0,268.165033,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-02 15:00:00
40,261.8481,36.2777,79.267604,19.681915,-1621.5061380000002,-21.7421,20.101042,268.850867,46.23444,371.885131,104.561134,345.920237,0.0,165.35005900000002,0.0,216.0,0.0,0.0,146.0,0.0,2012-01-02 16:00:00
41,261.2506,39.3588,72.348467,-19.238751,-2019.618625,207.140502,15.508429999999999,194.618001,48.110688,340.645693,77.288825,226.826044,112.188955,158.615603,630.0,216.0,0.0,957.0,146.0,0.0,2012-01-02 17:00:00
42,292.0445,40.2154,72.34280799999999,-38.698458,-2127.521887,159.896498,9.294042,144.295346,66.201418,287.81029700000005,68.163489,114.88591799999999,122.857574,136.331671,630.0,216.0,1534.03196,957.0,146.0,0.0,2012-01-02 18:00:00
43,301.0477,40.1931,72.394644,-50.454637,-2089.219173,128.11363300000002,4.292569,152.63611799999998,44.612992,289.44018,74.93836,81.00930100000001,125.957089,129.925725,630.0,216.0,2087.0,957.0,146.0,1400.0,2012-01-02 19:00:00
45,294.7136,38.2819,10.916028,-51.877195,-2002.816651,42.362636,-11.691576,84.797843,7.018555,145.602944,114.654307,110.888057,135.098411,75.72156700000001,630.0,216.0,2087.0,957.0,146.0,1400.0,2012-01-02 21:00:00
46,283.5593,35.1017,-7.550535000000001,-47.934544,-1770.815461,21.663103,-14.229633999999999,91.748486,5.281289,71.307412,148.874315,94.47578299999999,136.468486,82.182264,630.0,216.0,2087.0,957.0,146.0,1400.0,2012-01-02 22:00:00
47,269.0586,31.9041,-8.620167,-46.07736,-1656.322062,48.725846999999995,-14.250406,103.425566,3.289224,54.736928000000006,186.896545,100.367368,127.664068,71.560439,630.0,216.0,2087.0,957.0,146.0,1400.0,2012-01-02 23:00:00
48,236.711,28.7455,2.323198,-42.444418,-1437.610727,40.257473,-11.212794,83.407715,1.227668,42.5128,211.81838900000002,104.154816,89.257038,48.838494,0.0,216.0,2087.0,0.0,5.033924,1193.39435,2012-01-03 00:00:00
49,215.3584,26.912,7.703002000000001,-39.714729999999996,-1341.438416,13.816234,-7.029283,89.246255,1.227668,31.511084999999998,228.202514,115.937987,75.915649,29.949165999999998,0.0,27.70328,2087.0,0.0,0.0,963.9960560000001,2012-01-03 01:00:00
50,200.2602,26.0809,8.170955000000001,-37.641847999999996,-1278.083151,8.159477,-7.054377000000001,86.465997,4.099948,21.188488,240.09310200000002,128.983641,75.488904,16.699261,0.0,216.0,1628.851023,0.0,0.0,1400.0,2012-01-03 02:00:00
51,188.3092,25.7167,17.288381,-35.968045000000004,-1200.320452,9.922768,-5.520086,80.07140600000001,6.045686,17.52125,254.818075,125.40660700000001,59.834109,21.188898000000002,0.0,0.0,1372.1755449999998,0.0,0.0,1372.346494,2012-01-03 03:00:00
52,186.7555,26.4223,12.764844,-36.272763,-1269.143308,8.782481,-6.313689,74.788917,7.1807,13.446541,262.837309,132.139847,55.117456000000004,29.456401,0.0,0.0,899.701323,0.0,0.0,1400.0,2012-01-03 04:00:00
53,184.9629,29.0357,-6.693078999999999,-39.892302,-1445.823955,-2.572222,-5.402019,84.519817,2.733299,18.879486,261.212723,167.489361,45.369707,31.865475,454.517466,0.0,2087.0,0.0,0.0,1400.0,2012-01-03 05:00:00
55,206.3951,37.1008,-20.879687,-53.742802000000005,-1930.5660460000001,-6.110409,-5.774447,180.994741,1.273995,50.933865999999995,246.10752799999997,245.552869,42.607096999999996,25.733287,630.0,0.0,2087.0,957.0,118.08723400000001,1400.0,2012-01-03 07:00:00
56,235.8346,39.5766,-20.268933999999998,-54.91061800000001,-2129.752915,-5.299725,-1.9536790000000002,255.99558100000002,7.967630000000001,101.296192,246.520868,257.65461899999997,40.668306,38.334387,630.0,0.0,2087.0,957.0,146.0,1400.0,2012-01-03 08:00:00
57,270.4131,40.8243,-18.972935999999997,-49.471140000000005,-2166.1907260000003,8.9333,3.125147,423.10950499999996,20.681832999999997,179.20228400000002,275.977851,333.049305,41.458994,55.449387,212.53670400000001,0.0,2087.0,957.0,0.0,1400.0,2012-01-03 09:00:00
58,285.7105,40.912,-18.962532999999997,-40.832099,-2127.9208559999997,34.808991,5.289929,454.474057,31.179398,260.030148,289.615989,363.371845,48.629176,65.83249,0.0,69.718887,2087.0,0.0,0.0,1131.031893,2012-01-03 10:00:00
59,291.2478,40.2968,-13.357922,-30.216503000000003,-2080.316698,60.615216000000004,8.90161,509.04512400000004,37.439811999999996,300.710799,303.689822,327.919807,56.227387,118.47093400000001,0.0,216.0,1981.9583870000001,0.0,0.0,368.149453,2012-01-03 11:00:00
60,293.6778,40.005,-14.439027,-25.7485,-2085.4840670000003,82.926939,7.50214,591.1169269999999,39.972673,327.79875400000003,305.52119700000003,365.90551,55.67425,97.682568,0.0,68.977244,1239.0850679999999,0.0,0.0,0.0,2012-01-03 12:00:00
61,279.0179,38.5353,-20.153807999999998,-20.203742000000002,-2038.4215649999999,79.152703,5.177404,578.371205,37.975353999999996,325.541124,280.772355,358.898419,48.90036,61.785146,0.0,0.0,1133.270805,0.0,0.0,0.0,2012-01-03 13:00:00
62,284.3162,37.5677,-23.148017000000003,-16.099608,-2028.973645,67.991236,1.6781869999999999,515.457326,31.261044000000002,286.749208,261.666503,300.65094799999997,39.850508000000005,80.51637099999999,0.0,216.0,2087.0,0.0,0.0,144.469517,2012-01-03 14:00:00
63,286.7861,37.6397,-31.706675,-26.694815000000002,-2083.281692,48.870954,-5.360087999999999,429.53064000000006,21.432894,225.887704,253.102408,230.194715,23.695565,96.678163,88.94583,0.0,2087.0,957.0,0.0,1400.0,2012-01-03 15:00:00
64,282.165,38.7164,-34.988347,-47.97207,-2221.324134,49.206813000000004,-16.427464,171.541866,3.011261,107.30067700000001,229.06665499999997,95.317438,26.143732,60.117339,630.0,4.237566999999999,2087.0,957.0,146.0,1400.0,2012-01-03 16:00:00
65,279.7349,41.5893,-36.293336,-56.287213,-2387.339337,46.494793,-15.379573,195.452078,1.9920650000000002,91.409311,232.246696,140.135571,18.147883,31.427462,630.0,0.0,2087.0,957.0,146.0,1400.0,2012-01-03 17:00:00
66,305.8281,42.3045,-36.562248,1141.33075,-2425.651086,54.042972999999996,-11.238128,185.999203,0.926542,79.72847800000001,245.035992,156.337431,8.871799000000001,15.494724,630.0,216.0,2087.0,957.0,146.0,1400.0,2012-01-03 18:00:00
